gene.ID	gene.type
ENSG00000000003	coding
ENSG00000000005	coding
ENSG00000000419	coding
ENSG00000000457	coding
ENSG00000000460	coding
ENSG00000000938	coding
ENSG00000000971	coding
ENSG00000001036	coding
ENSG00000001084	coding
ENSG00000001167	coding
ENSG00000001460	coding
ENSG00000001461	coding
ENSG00000001497	coding
ENSG00000001561	coding
ENSG00000001617	coding
ENSG00000001626	coding
ENSG00000001629	coding
ENSG00000001630	coding
ENSG00000001631	coding
ENSG00000002016	coding
ENSG00000002330	coding
ENSG00000002549	coding
ENSG00000002586	coding
ENSG00000002587	coding
ENSG00000002726	coding
ENSG00000002745	coding
ENSG00000002746	coding
ENSG00000002822	coding
ENSG00000002834	coding
ENSG00000002919	coding
ENSG00000002933	coding
ENSG00000003056	coding
ENSG00000003096	coding
ENSG00000003137	coding
ENSG00000003147	coding
ENSG00000003249	coding
ENSG00000003393	coding
ENSG00000003400	coding
ENSG00000003402	coding
ENSG00000003436	coding
ENSG00000003509	coding
ENSG00000003756	coding
ENSG00000003987	coding
ENSG00000003989	coding
ENSG00000004059	coding
ENSG00000004139	coding
ENSG00000004142	coding
ENSG00000004399	coding
ENSG00000004455	coding
ENSG00000004468	coding
ENSG00000004478	coding
ENSG00000004487	coding
ENSG00000004534	coding
ENSG00000004660	coding
ENSG00000004700	coding
ENSG00000004766	coding
ENSG00000004776	coding
ENSG00000004777	coding
ENSG00000004779	coding
ENSG00000004799	coding
ENSG00000004809	coding
ENSG00000004838	coding
ENSG00000004846	coding
ENSG00000004848	coding
ENSG00000004864	coding
ENSG00000004866	coding
ENSG00000004897	coding
ENSG00000004939	coding
ENSG00000004948	coding
ENSG00000004961	coding
ENSG00000004975	coding
ENSG00000005001	coding
ENSG00000005007	coding
ENSG00000005020	coding
ENSG00000005022	coding
ENSG00000005059	coding
ENSG00000005073	coding
ENSG00000005075	coding
ENSG00000005100	coding
ENSG00000005102	coding
ENSG00000005108	coding
ENSG00000005156	coding
ENSG00000005175	coding
ENSG00000005187	coding
ENSG00000005189	coding
ENSG00000005194	coding
ENSG00000005206	coding
ENSG00000005238	coding
ENSG00000005243	coding
ENSG00000005249	coding
ENSG00000005302	coding
ENSG00000005339	coding
ENSG00000005379	coding
ENSG00000005381	coding
ENSG00000005421	coding
ENSG00000005436	coding
ENSG00000005448	coding
ENSG00000005469	coding
ENSG00000005471	coding
ENSG00000005483	coding
ENSG00000005486	coding
ENSG00000005513	coding
ENSG00000005700	coding
ENSG00000005801	coding
ENSG00000005810	coding
ENSG00000005812	coding
ENSG00000005844	coding
ENSG00000005882	coding
ENSG00000005884	coding
ENSG00000005889	coding
ENSG00000005893	coding
ENSG00000005961	coding
ENSG00000005981	coding
ENSG00000006007	coding
ENSG00000006015	coding
ENSG00000006016	coding
ENSG00000006025	coding
ENSG00000006042	coding
ENSG00000006047	coding
ENSG00000006059	coding
ENSG00000006062	coding
ENSG00000006071	coding
ENSG00000006116	coding
ENSG00000006118	coding
ENSG00000006125	coding
ENSG00000006128	coding
ENSG00000006194	coding
ENSG00000006210	coding
ENSG00000006282	coding
ENSG00000006283	coding
ENSG00000006327	coding
ENSG00000006377	coding
ENSG00000006432	coding
ENSG00000006451	coding
ENSG00000006453	coding
ENSG00000006459	coding
ENSG00000006468	coding
ENSG00000006530	coding
ENSG00000006534	coding
ENSG00000006555	coding
ENSG00000006576	coding
ENSG00000006606	coding
ENSG00000006607	coding
ENSG00000006611	coding
ENSG00000006625	coding
ENSG00000006634	coding
ENSG00000006638	coding
ENSG00000006652	coding
ENSG00000006659	coding
ENSG00000006695	coding
ENSG00000006704	coding
ENSG00000006712	coding
ENSG00000006715	coding
ENSG00000006740	coding
ENSG00000006744	coding
